,Name,Author,Read,Home?,Series,# of Pages,Language,Purchase Year,Non Fiction,Publisher,Purchase Location
1,A Case to Answer,Margaret Yorke,FALSE,FALSE,FALSE,,English,2018,FALSE,Little Brown,Çalış Children's Charity
2,A Clockwork Orange,Anthony Burgess,TRUE,TRUE,FALSE,141,English,2015,FALSE,Penguin Books,D&R
3,A Day of Fallen Night,Samantha Shannon,FALSE,TRUE,TRUE,868,English,2025,FALSE,Bloomsbury,Amazon
4,A Feast for Crows,George R.R. Martin,FALSE,FALSE,TRUE,,English,2017,FALSE,Harper Voyager,Gift
5,A Land of Two Halves,Joe Bennet,FALSE,FALSE,FALSE,,English,2018,FALSE,Scribner,Çalış Children's Charity
6,A Literature of Their Own,Elaine Showalter,FALSE,TRUE,FALSE,378,English,2019,FALSE,Virago,Çalış Children's Charity
7,A Portrait of the Artist as a Young Man,James Joyce,TRUE,FALSE,FALSE,290,English,2018,FALSE,Collins Classics,Arkadaş Kitabevi
8,Abaddon Geçidi,James S.A. Corey,FALSE,TRUE,TRUE,488,Turkish,2024,FALSE,İthaki Yayınları,İlknokta
9,About A Boy,Nick Hornby,FALSE,FALSE,FALSE,278,English,2017,FALSE,Penguin Books,Çalış Children's Charity
10,Absolute Truths,Susan Howatch,FALSE,FALSE,FALSE,,English,2017,FALSE,Harper Collins,Çalış Children's Charity
11,Açıklamalı Notlarıyla Hobbit,"J.R.R. Tolkien, Douglas A. Anderson",TRUE,TRUE,TRUE,416,Turkish,2019,FALSE,İthaki Yayınları,Gift
12,Açlık,Knut Hamsun,FALSE,TRUE,FALSE,196,Turkish,2025,FALSE,Can Yayınları,Amazon
13,Açlık Oyunları Dünyası,Kate Egan,TRUE,FALSE,TRUE,192,Turkish,2012,FALSE,Pegasus,-
14,Açlık Oyunları Rehberi,Caroline Carpenter,TRUE,FALSE,TRUE,192,Turkish,2012,FALSE,Pegasus,-
