Unnamed: 0,Name,Author,Read,Home?,Series,# of Pages,Language,Purchase Year,Non Fiction,Publisher,Purchase Location,Genre,Subgenre
1,A Case to Answer,Margaret Yorke,False,False,False,,English,2018,False,Little Brown,Çalış Children's Charity,,
2,A Clockwork Orange,Anthony Burgess,True,True,False,141,English,2015,False,Penguin Books,D&R,,
3,A Day of Fallen Night,Samantha Shannon,False,True,True,868,English,2025,False,Bloomsbury,Amazon,,
4,A Feast for Crows,George R.R. Martin,False,False,True,,English,2017,False,Harper Voyager,Gift,,
5,A Land of Two Halves,Joe Bennet,False,False,False,,English,2018,False,Scribner,Çalış Children's Charity,,
6,A Literature of Their Own,Elaine Showalter,False,True,False,378,English,2019,False,Virago,Çalış Children's Charity,,
7,A Portrait of the Artist as a Young Man,James Joyce,True,False,False,290,English,2018,False,Collins Classics,Arkadaş Kitabevi,,
8,Abaddon Geçidi,James S.A. Corey,False,True,True,488,Turkish,2024,False,İthaki Yayınları,İlknokta,Science Fiction,Space Opera
9,About A Boy,Nick Hornby,False,False,False,278,English,2017,False,Penguin Books,Çalış Children's Charity,,
10,Absolute Truths,Susan Howatch,False,False,False,,English,2017,False,Harper Collins,Çalış Children's Charity,,
11,Açıklamalı Notlarıyla Hobbit,"J.R.R. Tolkien, Douglas A. Anderson",True,True,True,416,Turkish,2019,False,İthaki Yayınları,Gift,,
12,Açlık,Knut Hamsun,False,True,False,196,Turkish,2025,False,Can Yayınları,Amazon,,
13,Açlık Oyunları Dünyası,Kate Egan,True,False,True,192,Turkish,2012,False,Pegasus,-,,
14,Açlık Oyunları Rehberi,Caroline Carpenter,True,False,True,192,Turkish,2012,False,Pegasus,-,,
15,Açlık Oyunları: Haraçları Tanıyalım,Emily Seife,True,False,True,128,Turkish,2012,False,Pegasus,-,,
16,Adam Manfried,"Caitlin Major, Kelly Bastow",True,False,True,224,Turkish,2020,False,Yabancı Yayınları,İlknokta,,
